week,velocity
2003-02-24/2003-03-02,0.2806948100771167
2003-03-03/2003-03-09,0.2623161822439285
2003-03-10/2003-03-16,0.24308198065599407
2003-03-17/2003-03-23,0.3317109583923198
2003-03-24/2003-03-30,0.19235613009353492
2003-03-31/2003-04-06,0.23749747643928099
2003-04-07/2003-04-13,0.229219892512171
2003-04-14/2003-04-20,0.27682818494146433
2003-04-21/2003-04-27,0.3086626001165764
2003-04-28/2003-05-04,0.3169149460296583
2003-05-05/2003-05-11,0.2761519623714699
2003-05-12/2003-05-18,0.27016823408541846
2003-05-19/2003-05-25,0.2792778033111901
2003-05-26/2003-06-01,0.45430281406340045
